Area Code (FAO),Area,Year_Code,Year,Agriculture_CG,Total_Expenditure_CG
46,Congo,251,2021,,
46,Congo,252,2022,,
47,Cook Islands,253,2017,,
47,Cook Islands,254,2018,,143.43
47,Cook Islands,255,2019,,133.05
47,Cook Islands,256,2020,,164.48
47,Cook Islands,257,2021,,207.12
47,Cook Islands,258,2022,,143.37
48,Costa Rica,259,2017,,13013.54
48,Costa Rica,260,2018,,13337.69
48,Costa Rica,261,2019,,14354.56
48,Costa Rica,262,2020,,14461.26
48,Costa Rica,263,2021,,13872.77
48,Costa Rica,264,2022,,13413.11
49,Cuba,265,2017,2715.89,63905.7
49,Cuba,266,2018,3278.27,65497.5
49,Cuba,267,2019,2921.23,66243.7
49,Cuba,268,2020,,
49,Cuba,269,2021,,
49,Cuba,270,2022,,
50,Cyprus,271,2017,,6433.08
50,Cyprus,272,2018,,9003.72
50,Cyprus,273,2019,,7766.58
50,Cyprus,274,2020,,8644.25
50,Cyprus,275,2021,,9533.95
50,Cyprus,276,2022,,
51,Czechoslovakia,277,2017,,
51,Czechoslovakia,278,2018,,
51,Czechoslovakia,279,2019,,
51,Czechoslovakia,280,2020,,
51,Czechoslovakia,281,2021,,
51,Czechoslovakia,282,2022,,
52,Azerbaijan,283,2017,272.96,9429.25
52,Azerbaijan,284,2018,466.7,12667.93
52,Azerbaijan,285,2019,484.53,15952.85
52,Azerbaijan,286,2020,507.18,14870.76
52,Azerbaijan,287,2021,278.82,21918.35
52,Azerbaijan,288,2022,,
53,Benin,289,2017,94.3,2324.54
53,Benin,290,2018,92.01,2370
53,Benin,291,2019,,2083.87
53,Benin,292,2020,,2892.79
53,Benin,293,2021,,3412.88
53,Benin,294,2022,,3594.21
54,Denmark,295,2017,456.77,123654.27
54,Denmark,296,2018,479.79,132443.59
54,Denmark,297,2019,522.53,125474.48
54,Denmark,298,2020,546.42,141911.29
54,Denmark,299,2021,1134.37,151781.44
54,Denmark,300,2022,972.08,130251.15
55,Dominica,301,2017,,229.24
55,Dominica,302,2018,,272.53
55,Dominica,303,2019,,341.8
55,Dominica,304,2020,,
55,Dominica,305,2021,,
55,Dominica,306,2022,,
56,Dominican Republic,307,2017,371.84,15794.18
56,Dominican Republic,308,2018,353.17,16188.07
56,Dominican Republic,309,2019,467.7,18150.96
56,Dominican Republic,310,2020,425.34,20152.18
56,Dominican Republic,311,2021,577.14,19827.11
56,Dominican Republic,312,2022,903.29,21225.17
57,Belarus,313,2017,,10465.13
57,Belarus,314,2018,,11234.07
57,Belarus,315,2019,,11766.95
57,Belarus,316,2020,,12094.58
57,Belarus,317,2021,555.29,11394.8
57,Belarus,318,2022,,
58,Ecuador,319,2017,248.78,24368.38
58,Ecuador,320,2018,171.21,24053.41
58,Ecuador,321,2019,143.41,29899.58
58,Ecuador,322,2020,180.02,26866.97
58,Ecuador,323,2021,161.08,26130.27
58,Ecuador,324,2022,,30070.52
59,Egypt,325,2017,302.83,54817.5
59,Egypt,326,2018,332.58,67941.59
59,Egypt,327,2019,347.87,84911.78
59,Egypt,328,2020,389.61,99913.81
59,Egypt,329,2021,471.54,109506.54
59,Egypt,330,2022,411,95912.36
60,El Salvador,331,2017,,5200
60,El Salvador,332,2018,86.5,5369.5
60,El Salvador,333,2019,65,8238.2
60,El Salvador,334,2020,85.2,7342.4
60,El Salvador,335,2021,94.5,7407.9
60,El Salvador,336,2022,137,8397.6
61,Equatorial Guinea,337,2017,,2398.38
61,Equatorial Guinea,338,2018,18.32,2076.19
61,Equatorial Guinea,339,2019,18.8,1954.96
61,Equatorial Guinea,340,2020,21.45,1866.36
61,Equatorial Guinea,341,2021,17.22,1659.5
61,Equatorial Guinea,342,2022,13.26,1744.52
62,Ethiopia PDR,343,2017,,
62,Ethiopia PDR,344,2018,,
62,Ethiopia PDR,345,2019,,
62,Ethiopia PDR,346,2020,,
62,Ethiopia PDR,347,2021,,
62,Ethiopia PDR,348,2022,,
63,Estonia,349,2017,,9029.09
63,Estonia,350,2018,,10445.66
63,Estonia,351,2019,,10522.28
63,Estonia,352,2020,,12005.97
63,Estonia,353,2021,,13537.65
63,Estonia,354,2022,,
64,Faroe Islands,355,2017,,
64,Faroe Islands,356,2018,,
64,Faroe Islands,357,2019,,
64,Faroe Islands,358,2020,,
64,Faroe Islands,359,2021,,
64,Faroe Islands,360,2022,,
65,Falkland Islands (Malvinas),361,2017,,
65,Falkland Islands (Malvinas),362,2018,,
65,Falkland Islands (Malvinas),363,2019,,
65,Falkland Islands (Malvinas),364,2020,,
65,Falkland Islands (Malvinas),365,2021,,
65,Falkland Islands (Malvinas),366,2022,,
66,Fiji,367,2017,18.09,586.34
66,Fiji,368,2018,19.93,655.46
66,Fiji,369,2019,21.38,630.62
66,Fiji,370,2020,16.97,593.78
66,Fiji,371,2021,13.04,596.44
66,Fiji,372,2022,14.08,605.98
67,Finland,373,2017,,51217.49
67,Finland,374,2018,,53291.75
67,Finland,375,2019,,51429.78
67,Finland,376,2020,,61800.8
67,Finland,377,2021,,62899.31
67,Finland,378,2022,,74719.07
68,France,379,2017,,607570.78
68,France,380,2018,,631733.9
68,France,381,2019,,611553.25
68,France,382,2020,,672696.87
68,France,383,2021,,725185.74
68,France,384,2022,,
69,French Guiana,385,2017,,
69,French Guiana,386,2018,,
69,French Guiana,387,2019,,
69,French Guiana,388,2020,,
69,French Guiana,389,2021,,
69,French Guiana,390,2022,,
70,French Polynesia,391,2017,,
70,French Polynesia,392,2018,,
70,French Polynesia,393,2019,,
70,French Polynesia,394,2020,,
70,French Polynesia,395,2021,,
70,French Polynesia,396,2022,,
72,Djibouti,397,2017,,659.31
72,Djibouti,398,2018,,755.12
72,Djibouti,399,2019,,753.81
72,Djibouti,400,2020,,811.05
72,Djibouti,401,2021,,791.53
72,Djibouti,402,2022,,746.68
73,Georgia,403,2017,,4824.59
73,Georgia,404,2018,,5006.45
73,Georgia,405,2019,,5101.3
73,Georgia,406,2020,,5397.98
73,Georgia,407,2021,,5196.39
73,Georgia,408,2022,233.38,6396.88
74,Gabon,409,2017,,2602
74,Gabon,410,2018,19.76,3544.99
74,Gabon,411,2019,13.16,3446.12
74,Gabon,412,2020,15.05,3564.55
74,Gabon,413,2021,20.42,3685.18
74,Gabon,414,2022,,
75,Gambia,415,2017,4.76,239.68
75,Gambia,416,2018,2.14,275.61
75,Gambia,417,2019,2.48,312.32
75,Gambia,418,2020,9.42,380.88
75,Gambia,419,2021,6.49,400.12
75,Gambia,420,2022,7.25,428.08
79,Germany,421,2017,,468629.03
79,Germany,422,2018,,497375.53
79,Germany,423,2019,,487411.37
79,Germany,424,2020,,580609.12
79,Germany,425,2021,,728238.05
79,Germany,426,2022,,659472.76
80,Bosnia and Herzegovina,427,2017,,3365.53
80,Bosnia and Herzegovina,428,2018,,3673.27
80,Bosnia and Herzegovina,429,2019,,3536.83
80,Bosnia and Herzegovina,430,2020,,3787.94
80,Bosnia and Herzegovina,431,2021,,3983.92
80,Bosnia and Herzegovina,432,2022,,3812.77
81,Ghana,433,2017,64.9,9115.6
81,Ghana,434,2018,159.3,13808.2
81,Ghana,435,2019,126.33,15550.93
81,Ghana,436,2020,183.4,17277.71
81,Ghana,437,2021,216.91,18536.56
81,Ghana,438,2022,95,23875.52
82,Gibraltar,439,2017,,
82,Gibraltar,440,2018,,
82,Gibraltar,441,2019,,
82,Gibraltar,442,2020,,
82,Gibraltar,443,2021,,
82,Gibraltar,444,2022,,
83,Kiribati,445,2017,,164.18
83,Kiribati,446,2018,,162.6
83,Kiribati,447,2019,,183.89
83,Kiribati,448,2020,,178.08
83,Kiribati,449,2021,,248.12
83,Kiribati,450,2022,,
84,Greece,451,2017,,73657.47
84,Greece,452,2018,,78451.99
84,Greece,453,2019,,71651.97
84,Greece,454,2020,,85945.69
84,Greece,455,2021,,94024.31
84,Greece,456,2022,,
85,Greenland,457,2017,,
85,Greenland,458,2018,,
85,Greenland,459,2019,,
85,Greenland,460,2020,,
85,Greenland,461,2021,,
85,Greenland,462,2022,,
86,Grenada,463,2017,2.68,262.33
86,Grenada,464,2018,2.71,264.26
86,Grenada,465,2019,2.55,264.89
86,Grenada,466,2020,2.89,274.89
86,Grenada,467,2021,3.91,318.63
86,Grenada,468,2022,3.81,392.74
87,Guadeloupe,469,2017,,
87,Guadeloupe,470,2018,,
87,Guadeloupe,471,2019,,
87,Guadeloupe,472,2020,,
87,Guadeloupe,473,2021,,
87,Guadeloupe,474,2022,,
88,Guam,475,2017,,
88,Guam,476,2018,,
88,Guam,477,2019,,
88,Guam,478,2020,,
88,Guam,479,2021,,
88,Guam,480,2022,,
89,Guatemala,481,2017,165.86,9544.37
89,Guatemala,482,2018,167.92,10209.96
89,Guatemala,483,2019,141.6,11014.63
89,Guatemala,484,2020,95.35,12239.49
89,Guatemala,485,2021,106.15,12316.49
89,Guatemala,486,2022,154.18,14172.54
90,Guinea,487,2017,21.54,1806.82
90,Guinea,488,2018,43.61,1903.96
90,Guinea,489,2019,34.89,2014.08
90,Guinea,490,2020,52.82,2260.22
90,Guinea,491,2021,,
90,Guinea,492,2022,,
91,Guyana,493,2017,96.38,1162.32
91,Guyana,494,2018,113.99,1256.35
91,Guyana,495,2019,74.43,1053.2
91,Guyana,496,2020,105.16,1616.47
91,Guyana,497,2021,,
91,Guyana,498,2022,,
93,Haiti,499,2017,99.6,1301.1
93,Haiti,500,2018,,1500.21
93,Haiti,501,2019,29.48,1119.59
93,Haiti,502,2020,,1890.2
93,Haiti,503,2021,,1685.56
93,Haiti,504,2022,,1454.3
94,Holy See,505,2017,,
94,Holy See,506,2018,,
94,Holy See,507,2019,,
94,Holy See,508,2020,,
94,Holy See,509,2021,,
94,Holy See,510,2022,,
95,Honduras,511,2017,,5039.16
95,Honduras,512,2018,,5141.38
95,Honduras,513,2019,,5285.59
95,Honduras,514,2020,,5634.57
95,Honduras,515,2021,165.18,7394.19
95,Honduras,516,2022,185.73,7411.49
96,"China, Hong Kong SAR",517,2017,,
96,"China, Hong Kong SAR",518,2018,,
96,"China, Hong Kong SAR",519,2019,,
96,"China, Hong Kong SAR",520,2020,,
96,"China, Hong Kong SAR",521,2021,,
96,"China, Hong Kong SAR",522,2022,,
97,Hungary,523,2017,,48637.94
97,Hungary,524,2018,,53684.83
97,Hungary,525,2019,,54186.42
97,Hungary,526,2020,,60879.57
97,Hungary,527,2021,,70282.71
97,Hungary,528,2022,,
98,Croatia,529,2017,,16019.56
98,Croatia,530,2018,,17564.32
98,Croatia,531,2019,,17639.62
98,Croatia,532,2020,,19984.11
98,Croatia,533,2021,,21943.27
98,Croatia,534,2022,,
99,Iceland,535,2017,,7533.25
99,Iceland,536,2018,,7873.96
99,Iceland,537,2019,139.27,7889.69
99,Iceland,538,2020,126.74,8147.08
99,Iceland,539,2021,150.27,9421.14
99,Iceland,540,2022,156.78,9859.43
100,India,541,2017,,417076.72
100,India,542,2018,,440295.34
100,India,543,2019,,
100,India,544,2020,,
100,India,545,2021,,
100,India,546,2022,,
101,Indonesia,547,2017,,149970.58
101,Indonesia,548,2018,3106.86,155391.81
101,Indonesia,549,2019,3006.29,163131.2
101,Indonesia,550,2020,2682.32,177933.08
101,Indonesia,551,2021,2403.74,194559.71
101,Indonesia,552,2022,2418.55,208339.84
102,Iran (Islamic Republic of),553,2017,,92980.36
102,Iran (Islamic Republic of),554,2018,,85357.77
102,Iran (Islamic Republic of),555,2019,,79040.01
102,Iran (Islamic Republic of),556,2020,,65580.02
102,Iran (Islamic Republic of),557,2021,,70091.05
102,Iran (Islamic Republic of),558,2022,,
103,Iraq,559,2017,,
103,Iraq,560,2018,,
103,Iraq,561,2019,,
103,Iraq,562,2020,,
103,Iraq,563,2021,,
103,Iraq,564,2022,,
104,Ireland,565,2017,,74224.01
104,Ireland,566,2018,,82747.04
104,Ireland,567,2019,,81352.64
104,Ireland,568,2020,,97351.11
104,Ireland,569,2021,,106803.14
104,Ireland,570,2022,,
105,Israel,571,2017,320.53,118013.73
105,Israel,572,2018,356.28,127306.08
105,Israel,573,2019,361.31,133077.04
105,Israel,574,2020,413.04,157678.05
105,Israel,575,2021,403.39,171872.3
105,Israel,576,2022,465.46,167454.44
106,Italy,577,2017,,597474.82
106,Italy,578,2018,,623164.89
106,Italy,579,2019,,589966.43
106,Italy,580,2020,,707223.84
106,Italy,581,2021,,760002.9
106,Italy,582,2022,,
107,C??te d'Ivoire,583,2017,159.44,8564.91
107,C??te d'Ivoire,584,2018,159.64,9383.56
107,C??te d'Ivoire,585,2019,,9265.65
107,C??te d'Ivoire,586,2020,,11659.67
107,C??te d'Ivoire,587,2021,,13518.19
107,C??te d'Ivoire,588,2022,,
108,Kazakhstan,589,2017,,32345.12
108,Kazakhstan,590,2018,,26697.72
108,Kazakhstan,591,2019,,29780.05
108,Kazakhstan,592,2020,,30261.88
108,Kazakhstan,593,2021,,34956.82
108,Kazakhstan,594,2022,,
109,Jamaica,595,2017,,4389.95
109,Jamaica,596,2018,,4691.48
109,Jamaica,597,2019,,4728.41
109,Jamaica,598,2020,,4636.32
109,Jamaica,599,2021,,5436.49
109,Jamaica,600,2022,,5944.22
110,Japan,601,2017,,807336.32
110,Japan,602,2018,,819572.49
110,Japan,603,2019,,851341.94
110,Japan,604,2020,,1206475.33
110,Japan,605,2021,,1099522.06
110,Japan,606,2022,,
112,Jordan,607,2017,,11511.56
112,Jordan,608,2018,,12066.21
112,Jordan,609,2019,,12412.11
112,Jordan,610,2020,,12973.24
112,Jordan,611,2021,,13885.92
112,Jordan,612,2022,,
113,Kyrgyzstan,613,2017,2.13,2208.47
113,Kyrgyzstan,614,2018,2.56,2062.17
113,Kyrgyzstan,615,2019,6.7,2139.81
113,Kyrgyzstan,616,2020,2.34,1996.88
113,Kyrgyzstan,617,2021,2.98,2256.42
113,Kyrgyzstan,618,2022,3.77,3373.7
114,Kenya,619,2017,351.95,22076.93
114,Kenya,620,2018,411.39,25429.66
114,Kenya,621,2019,426.37,28873.03
114,Kenya,622,2020,410.41,24384.56
114,Kenya,623,2021,518.45,24915.36
114,Kenya,624,2022,463.9,25364.8
115,Cambodia,625,2017,,4760.61
115,Cambodia,626,2018,,5327.83
115,Cambodia,627,2019,,6126.53
115,Cambodia,628,2020,,6864.12
115,Cambodia,629,2021,,6578.69
115,Cambodia,630,2022,,8079.91
116,Democratic People's Republic of Korea,631,2017,,
116,Democratic People's Republic of Korea,632,2018,,
116,Democratic People's Republic of Korea,633,2019,,
116,Democratic People's Republic of Korea,634,2020,,
116,Democratic People's Republic of Korea,635,2021,,
116,Democratic People's Republic of Korea,636,2022,,
117,Republic of Korea,637,2017,,333372.57
117,Republic of Korea,638,2018,,367533.72
117,Republic of Korea,639,2019,8107.78,387897.38
117,Republic of Korea,640,2020,6145.54,435039.97
117,Republic of Korea,641,2021,7382.13,493932.99
117,Republic of Korea,642,2022,,
118,Kuwait,643,2017,,58601.33
118,Kuwait,644,2018,,63869.13
118,Kuwait,645,2019,,72559.26
118,Kuwait,646,2020,,70496.95
118,Kuwait,647,2021,,70914.6
118,Kuwait,648,2022,,70213.84
119,Latvia,649,2017,,6649.2
119,Latvia,650,2018,,7826.23
119,Latvia,651,2019,,7682.21
119,Latvia,652,2020,,8890.57
119,Latvia,653,2021,,11074.85
119,Latvia,654,2022,,
120,Lao People's Democratic Republic,655,2017,,
120,Lao People's Democratic Republic,656,2018,,
120,Lao People's Democratic Republic,657,2019,,2494.48
120,Lao People's Democratic Republic,658,2020,,
120,Lao People's Democratic Republic,659,2021,,
120,Lao People's Democratic Republic,660,2022,,
121,Lebanon,661,2017,35.62,14887.07
121,Lebanon,662,2018,34.32,17326.89
121,Lebanon,663,2019,29.1,16059.57
121,Lebanon,664,2020,16.44,7405.73
121,Lebanon,665,2021,5.98,3047.39
121,Lebanon,666,2022,,
122,Lesotho,667,2017,20.37,1188.13
122,Lesotho,668,2018,19.88,1324.78
122,Lesotho,669,2019,16.29,1258.57
122,Lesotho,670,2020,17.27,956.02
122,Lesotho,671,2021,25.78,1354.75
122,Lesotho,672,2022,,
123,Liberia,673,2017,,545.7
123,Liberia,674,2018,,501.79
123,Liberia,675,2019,,518
123,Liberia,676,2020,,518.48
123,Liberia,677,2021,,638.63
123,Liberia,678,2022,,808.11
124,Libya,679,2017,,
124,Libya,680,2018,,
124,Libya,681,2019,,
124,Libya,682,2020,,
124,Libya,683,2021,,
124,Libya,684,2022,,
125,Liechtenstein,685,2017,,
125,Liechtenstein,686,2018,,
125,Liechtenstein,687,2019,,
125,Liechtenstein,688,2020,,
125,Liechtenstein,689,2021,,
125,Liechtenstein,690,2022,,
126,Lithuania,691,2017,,10437.05
126,Lithuania,692,2018,,16263.24
126,Lithuania,693,2019,,14128.26
126,Lithuania,694,2020,,18702.36
126,Lithuania,695,2021,,19240.62
126,Lithuania,696,2022,,19826.41
127,Marshall Islands,697,2017,,129.87
127,Marshall Islands,698,2018,,135.81
127,Marshall Islands,699,2019,,152.03
127,Marshall Islands,700,2020,,
127,Marshall Islands,701,2021,,
127,Marshall Islands,702,2022,,
128,"China, Macao SAR",703,2017,,9581.16
128,"China, Macao SAR",704,2018,,10177.28
128,"China, Macao SAR",705,2019,,10158.39
128,"China, Macao SAR",706,2020,,12341.52
128,"China, Macao SAR",707,2021,,11313.08
128,"China, Macao SAR",708,2022,,
129,Madagascar,709,2017,75.41,2012.12
129,Madagascar,710,2018,87.46,2087.41
129,Madagascar,711,2019,,2218.14
129,Madagascar,712,2020,,2422.27
129,Madagascar,713,2021,,2305.98
129,Madagascar,714,2022,,
130,Malawi,715,2017,,1559.5
130,Malawi,716,2018,,1784.54
130,Malawi,717,2019,,1996.13
130,Malawi,718,2020,,
130,Malawi,719,2021,,
130,Malawi,720,2022,,
131,Malaysia,721,2017,,60452.41
131,Malaysia,722,2018,,70720.31
131,Malaysia,723,2019,,76138.64
131,Malaysia,724,2020,,74212.27
131,Malaysia,725,2021,,80250.81
131,Malaysia,726,2022,,82448.01
132,Maldives,727,2017,,1621.57
132,Maldives,728,2018,,1830.01
132,Maldives,729,2019,,2496.28
132,Maldives,730,2020,,1960.6
132,Maldives,731,2021,,2416.3
132,Maldives,732,2022,,2784.7
